role,full_name,username,email,password,department,program,roll_no,semester
student,DEVANSH TIWARI,20261cse0038,20261cse0038@college.edu,20261cse0038@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0038,1
student,ANANYA GUPTA,20261cse0039,20261cse0039@college.edu,20261cse0039@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0039,1
student,DIYA CHOPRA,20261cse0040,20261cse0040@college.edu,20261cse0040@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0040,1
student,DALIT KUMAR,20261cse0041,20261cse0041@college.edu,20261cse0041@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0041,1
student,CHARVI PATEL,20261cse0042,20261cse0042@college.edu,20261cse0042@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0042,1
student,BHAVNA REDDY,20261cse0043,20261cse0043@college.edu,20261cse0043@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0043,1
student,EKTA SINHA,20261cse0044,20261cse0044@college.edu,20261cse0044@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0044,1
student,CHARVI PATEL,20261cse0045,20261cse0045@college.edu,20261cse0045@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0045,1
student,BHAVNA REDDY,20261cse0046,20261cse0046@college.edu,20261cse0046@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0046,1
student,ESWAR NAIR,20261cse0047,20261cse0047@college.edu,20261cse0047@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0047,1
student,AKSHAY SINGH,20261cse0048,20261cse0048@college.edu,20261cse0048@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0048,1
student,ARJUN KUMAR,20261cse0049,20261cse0049@college.edu,20261cse0049@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0049,1
student,CHETAN MAHESHWARI,20261cse0050,20261cse0050@college.edu,20261cse0050@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0050,1
student,ESWAR NAIR,20261cse0051,20261cse0051@college.edu,20261cse0051@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0051,1
student,DALIT KUMAR,20261cse0052,20261cse0052@college.edu,20261cse0052@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0052,1
student,DEEP SHARMA,20261cse0053,20261cse0053@college.edu,20261cse0053@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0053,1
student,DIYA CHOPRA,20261cse0054,20261cse0054@college.edu,20261cse0054@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0054,1
student,DARSHAN REDDY,20261cse0055,20261cse0055@college.edu,20261cse0055@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0055,1
student,ANANYA GUPTA,20261cse0056,20261cse0056@college.edu,20261cse0056@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0056,1
student,EKTA SINHA,20261cse0057,20261cse0057@college.edu,20261cse0057@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0057,1
student,DIYA CHOPRA,20261cse0058,20261cse0058@college.edu,20261cse0058@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0058,1
student,CHETAN MAHESHWARI,20261cse0059,20261cse0059@college.edu,20261cse0059@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0059,1
student,DALIT KUMAR,20261cse0060,20261cse0060@college.edu,20261cse0060@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0060,1
student,CHHAYA BANERJEE,20261cse0061,20261cse0061@college.edu,20261cse0061@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0061,1
student,EMRAN KHAN,20261cse0062,20261cse0062@college.edu,20261cse0062@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0062,1
student,BIANCA DESAI,20262cse0001,20262cse0001@college.edu,20262cse0001@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0001,2
student,BHUVANESH VERMA,20262cse0002,20262cse0002@college.edu,20262cse0002@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0002,2
student,AARAV SHARMA,20262cse0003,20262cse0003@college.edu,20262cse0003@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0003,2
student,DARSHAN REDDY,20262cse0004,20262cse0004@college.edu,20262cse0004@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0004,2
student,ESWAR NAIR,20262cse0005,20262cse0005@college.edu,20262cse0005@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0005,2
student,AISHA PATEL,20262cse0006,20262cse0006@college.edu,20262cse0006@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0006,2
student,ESWAR NAIR,20262cse0007,20262cse0007@college.edu,20262cse0007@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0007,2
student,DEVANSH TIWARI,20262cse0008,20262cse0008@college.edu,20262cse0008@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0008,2
student,DEVANSH TIWARI,20262cse0009,20262cse0009@college.edu,20262cse0009@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0009,2
student,CHARVI PATEL,20262cse0010,20262cse0010@college.edu,20262cse0010@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0010,2
student,CHANDNI SHARMA,20262cse0011,20262cse0011@college.edu,20262cse0011@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0011,2
student,ARJUN KUMAR,20262cse0012,20262cse0012@college.edu,20262cse0012@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0012,2
student,CHETAN MAHESHWARI,20262cse0013,20262cse0013@college.edu,20262cse0013@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0013,2
student,AKSHAY SINGH,20262cse0014,20262cse0014@college.edu,20262cse0014@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0014,2
student,AARAV SHARMA,20262cse0015,20262cse0015@college.edu,20262cse0015@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0015,2
student,BIANCA DESAI,20262cse0016,20262cse0016@college.edu,20262cse0016@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0016,2
student,DIYA CHOPRA,20262cse0017,20262cse0017@college.edu,20262cse0017@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0017,2
student,BHAVNA REDDY,20262cse0018,20262cse0018@college.edu,20262cse0018@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0018,2
student,CHHAYA BANERJEE,20262cse0019,20262cse0019@college.edu,20262cse0019@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0019,2
student,DARSHAN REDDY,20262cse0020,20262cse0020@college.edu,20262cse0020@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0020,2
student,ESWAR NAIR,20262cse0021,20262cse0021@college.edu,20262cse0021@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0021,2
student,ANANYA GUPTA,20262cse0022,20262cse0022@college.edu,20262cse0022@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0022,2
student,ANANYA GUPTA,20262cse0023,20262cse0023@college.edu,20262cse0023@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0023,2
student,ARJUN KUMAR,20262cse0024,20262cse0024@college.edu,20262cse0024@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0024,2
student,BALAJI NAIR,20262cse0025,20262cse0025@college.edu,20262cse0025@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0025,2
student,ARJUN KUMAR,20262cse0026,20262cse0026@college.edu,20262cse0026@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0026,2
student,ANANYA GUPTA,20262cse0027,20262cse0027@college.edu,20262cse0027@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0027,2
student,DEEP SHARMA,20262cse0028,20262cse0028@college.edu,20262cse0028@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0028,2
student,CHANDNI SHARMA,20262cse0029,20262cse0029@college.edu,20262cse0029@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0029,2
student,DIYA CHOPRA,20262cse0030,20262cse0030@college.edu,20262cse0030@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0030,2
student,DARSHAN REDDY,20262cse0031,20262cse0031@college.edu,20262cse0031@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0031,2
student,EDEN PATEL,20262cse0032,20262cse0032@college.edu,20262cse0032@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0032,2
student,DALIT KUMAR,20262cse0033,20262cse0033@college.edu,20262cse0033@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0033,2
student,ARJUN KUMAR,20262cse0034,20262cse0034@college.edu,20262cse0034@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0034,2
student,AARAV SHARMA,20262cse0035,20262cse0035@college.edu,20262cse0035@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0035,2
student,DEVANSH TIWARI,20262cse0036,20262cse0036@college.edu,20262cse0036@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0036,2
student,CHIRAG MALHOTRA,20262cse0037,20262cse0037@college.edu,20262cse0037@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0037,2
student,BIANCA DESAI,20262cse0038,20262cse0038@college.edu,20262cse0038@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0038,2
student,DIYA CHOPRA,20262cse0039,20262cse0039@college.edu,20262cse0039@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0039,2
student,BHAVNA REDDY,20262cse0040,20262cse0040@college.edu,20262cse0040@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0040,2
student,AKSHAY SINGH,20262cse0041,20262cse0041@college.edu,20262cse0041@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0041,2
student,BHUVANESH VERMA,20262cse0042,20262cse0042@college.edu,20262cse0042@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0042,2
student,EMRAN KHAN,20262cse0043,20262cse0043@college.edu,20262cse0043@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0043,2
student,CHARVI PATEL,20262cse0044,20262cse0044@college.edu,20262cse0044@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0044,2
student,EMRAN KHAN,20262cse0045,20262cse0045@college.edu,20262cse0045@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0045,2
student,BOOM BABU,20262cse0046,20262cse0046@college.edu,20262cse0046@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0046,2
student,ESWAR NAIR,20262cse0047,20262cse0047@college.edu,20262cse0047@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0047,2
student,ANANYA GUPTA,20262cse0048,20262cse0048@college.edu,20262cse0048@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0048,2
student,EKTA SINHA,20262cse0049,20262cse0049@college.edu,20262cse0049@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0049,2
student,CHHAYA BANERJEE,20262cse0050,20262cse0050@college.edu,20262cse0050@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0050,2
student,DIYA CHOPRA,20262cse0051,20262cse0051@college.edu,20262cse0051@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0051,2
student,ESWAR NAIR,20262cse0052,20262cse0052@college.edu,20262cse0052@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0052,2
student,BIANCA DESAI,20262cse0053,20262cse0053@college.edu,20262cse0053@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0053,2
student,CHHAYA BANERJEE,20262cse0054,20262cse0054@college.edu,20262cse0054@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0054,2
student,EMRAN KHAN,20262cse0055,20262cse0055@college.edu,20262cse0055@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0055,2
student,DARSHAN REDDY,20262cse0056,20262cse0056@college.edu,20262cse0056@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0056,2
student,AISHA PATEL,20262cse0057,20262cse0057@college.edu,20262cse0057@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0057,2
student,CHARVI PATEL,20262cse0058,20262cse0058@college.edu,20262cse0058@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0058,2
student,DEEP SHARMA,20262cse0059,20262cse0059@college.edu,20262cse0059@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0059,2
student,EKTA SINHA,20262cse0060,20262cse0060@college.edu,20262cse0060@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0060,2
student,AARAV SHARMA,20262cse0061,20262cse0061@college.edu,20262cse0061@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0061,2
student,ARJUN KUMAR,20262cse0062,20262cse0062@college.edu,20262cse0062@123,COMPUTER SCIENCE & ENGINEERING,CSE,20262cse0062,2
student,CHANDNI SHARMA,20263cse0001,20263cse0001@college.edu,20263cse0001@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0001,3
student,CHETAN MAHESHWARI,20263cse0002,20263cse0002@college.edu,20263cse0002@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0002,3
student,ANANYA GUPTA,20263cse0003,20263cse0003@college.edu,20263cse0003@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0003,3
student,AISHA PATEL,20263cse0004,20263cse0004@college.edu,20263cse0004@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0004,3
student,EMRAN KHAN,20263cse0005,20263cse0005@college.edu,20263cse0005@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0005,3
student,DEEP SHARMA,20263cse0006,20263cse0006@college.edu,20263cse0006@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0006,3
student,DALIT KUMAR,20263cse0007,20263cse0007@college.edu,20263cse0007@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0007,3
student,CHETAN MAHESHWARI,20263cse0008,20263cse0008@college.edu,20263cse0008@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0008,3
student,CHIRAG MALHOTRA,20263cse0009,20263cse0009@college.edu,20263cse0009@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0009,3
student,BIANCA DESAI,20263cse0010,20263cse0010@college.edu,20263cse0010@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0010,3
student,BIANCA DESAI,20263cse0011,20263cse0011@college.edu,20263cse0011@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0011,3
student,ESHA VERMA,20263cse0012,20263cse0012@college.edu,20263cse0012@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0012,3
student,AISHA PATEL,20263cse0013,20263cse0013@college.edu,20263cse0013@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0013,3
student,EKTA SINHA,20263cse0014,20263cse0014@college.edu,20263cse0014@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0014,3
student,CHHAYA BANERJEE,20263cse0015,20263cse0015@college.edu,20263cse0015@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0015,3
student,AARAV SHARMA,20263cse0016,20263cse0016@college.edu,20263cse0016@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0016,3
student,CHHAYA BANERJEE,20263cse0017,20263cse0017@college.edu,20263cse0017@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0017,3
student,DIYA CHOPRA,20263cse0018,20263cse0018@college.edu,20263cse0018@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0018,3
student,EDEN PATEL,20263cse0019,20263cse0019@college.edu,20263cse0019@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0019,3
student,CHHAYA BANERJEE,20263cse0020,20263cse0020@college.edu,20263cse0020@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0020,3
student,DEEP SHARMA,20263cse0021,20263cse0021@college.edu,20263cse0021@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0021,3
student,CHANDNI SHARMA,20263cse0022,20263cse0022@college.edu,20263cse0022@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0022,3
student,DIYA CHOPRA,20263cse0023,20263cse0023@college.edu,20263cse0023@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0023,3
student,BHUVANESH VERMA,20263cse0024,20263cse0024@college.edu,20263cse0024@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0024,3
student,AKSHAY SINGH,20263cse0025,20263cse0025@college.edu,20263cse0025@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0025,3
student,BALAJI NAIR,20263cse0026,20263cse0026@college.edu,20263cse0026@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0026,3
student,CHETAN MAHESHWARI,20263cse0027,20263cse0027@college.edu,20263cse0027@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0027,3
student,CHANDNI SHARMA,20263cse0028,20263cse0028@college.edu,20263cse0028@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0028,3
student,ARJUN KUMAR,20263cse0029,20263cse0029@college.edu,20263cse0029@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0029,3
student,BALAJI NAIR,20263cse0030,20263cse0030@college.edu,20263cse0030@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0030,3
student,AISHA PATEL,20263cse0031,20263cse0031@college.edu,20263cse0031@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0031,3
student,AKSHAY SINGH,20263cse0032,20263cse0032@college.edu,20263cse0032@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0032,3
student,CHHAYA BANERJEE,20263cse0033,20263cse0033@college.edu,20263cse0033@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0033,3
student,CHANDNI SHARMA,20263cse0034,20263cse0034@college.edu,20263cse0034@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0034,3
student,CHIRAG MALHOTRA,20263cse0035,20263cse0035@college.edu,20263cse0035@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0035,3
student,DARSHAN REDDY,20263cse0036,20263cse0036@college.edu,20263cse0036@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0036,3
student,ARJUN KUMAR,20263cse0037,20263cse0037@college.edu,20263cse0037@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0037,3
student,BHAVNA REDDY,20263cse0038,20263cse0038@college.edu,20263cse0038@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0038,3
student,CHIRAG MALHOTRA,20263cse0039,20263cse0039@college.edu,20263cse0039@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0039,3
student,AARAV SHARMA,20263cse0040,20263cse0040@college.edu,20263cse0040@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0040,3
student,ANANYA GUPTA,20263cse0041,20263cse0041@college.edu,20263cse0041@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0041,3
student,DEVANSH TIWARI,20263cse0042,20263cse0042@college.edu,20263cse0042@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0042,3
student,ESWAR NAIR,20263cse0043,20263cse0043@college.edu,20263cse0043@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0043,3
student,EMRAN KHAN,20263cse0044,20263cse0044@college.edu,20263cse0044@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0044,3
student,AARAV SHARMA,20263cse0045,20263cse0045@college.edu,20263cse0045@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0045,3
student,BHAVNA REDDY,20263cse0046,20263cse0046@college.edu,20263cse0046@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0046,3
student,CHANDNI SHARMA,20263cse0047,20263cse0047@college.edu,20263cse0047@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0047,3
student,CHETAN MAHESHWARI,20263cse0048,20263cse0048@college.edu,20263cse0048@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0048,3
student,BHAVNA REDDY,20263cse0049,20263cse0049@college.edu,20263cse0049@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0049,3
student,EDEN PATEL,20263cse0050,20263cse0050@college.edu,20263cse0050@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0050,3
student,CHARVI PATEL,20263cse0051,20263cse0051@college.edu,20263cse0051@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0051,3
student,ANANYA GUPTA,20263cse0052,20263cse0052@college.edu,20263cse0052@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0052,3
student,CHIRAG MALHOTRA,20263cse0053,20263cse0053@college.edu,20263cse0053@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0053,3
student,EMRAN KHAN,20263cse0054,20263cse0054@college.edu,20263cse0054@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0054,3
student,DARSHAN REDDY,20263cse0055,20263cse0055@college.edu,20263cse0055@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0055,3
student,DEVANSH TIWARI,20263cse0056,20263cse0056@college.edu,20263cse0056@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0056,3
student,CHANDNI SHARMA,20263cse0057,20263cse0057@college.edu,20263cse0057@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0057,3
student,EDEN PATEL,20263cse0058,20263cse0058@college.edu,20263cse0058@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0058,3
student,ARJUN KUMAR,20263cse0059,20263cse0059@college.edu,20263cse0059@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0059,3
student,BOOM BABU,20263cse0060,20263cse0060@college.edu,20263cse0060@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0060,3
student,ARJUN KUMAR,20263cse0061,20263cse0061@college.edu,20263cse0061@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0061,3
student,AARAV SHARMA,20263cse0062,20263cse0062@college.edu,20263cse0062@123,COMPUTER SCIENCE & ENGINEERING,CSE,20263cse0062,3
