SLOT_ID,DEPARTMENT,PROGRAM,SEMESTER,CLASS,DAY,START_TIME,END_TIME,DURATION_HOURS,SLOT_TYPE,COURSE,FACULTY_ID,FACULTY_NAME,ROOM
0022,CSE,CSE,2,B,Monday,09:00,10:00,1,THEORY,Embedded Systems,PUC26ECE003,CHIRAG Singh,T022
0023,CSE,CSE,2,B,Monday,10:00,11:00,1,THEORY,Business Management,PUC26ECE004,DEEPAK VERMA,T023
0024,CSE,CSE,2,B,Monday,08:00,10:00,2,LAB,Finance,PUC26ECE005,ESHA KAPOOR,L024
0025,CSE,CSE,2,B,Monday,09:00,11:00,2,LAB,Marketing,PUC26ECE006,FAISAL KHAN,L025
0026,CSE,CSE,2,C,Monday,08:00,09:00,1,THEORY,Economics,PUC26ECE007,GAURAV MAHAJAN,T026
0027,CSE,CSE,2,C,Monday,09:00,10:00,1,THEORY,Data Structures,PUC26ECE008,HARSH MITTAL,T027
0028,CSE,CSE,2,C,Monday,10:00,11:00,1,THEORY,Algorithms,PUC26ME001,ADITYA KUMAR,T028
0029,CSE,CSE,2,C,Monday,08:00,10:00,2,LAB,Web Development,PUC26ME002,BRIJESH SINGH,L029
0030,CSE,CSE,2,C,Monday,09:00,11:00,2,LAB,Cloud Computing,PUC26ME003,CHANDRA SHEKHAR,L030
0031,CSE,CSE,3,A,Monday,08:00,09:00,1,THEORY,AI & ML,PUC26ME004,DINESH PATEL,T031
0032,CSE,CSE,3,A,Monday,09:00,10:00,1,THEORY,Cybersecurity,PUC26ME005,EAKSHYA RAO,T032
0033,CSE,CSE,3,A,Monday,10:00,11:00,1,THEORY,IoT,PUC26ME006,FARHAN ALI,T033
0034,CSE,CSE,3,A,Monday,08:00,10:00,2,LAB,Databases,PUC26ME007,GAJENDRA SINGH,L034
0035,CSE,CSE,3,A,Monday,09:00,11:00,2,LAB,OS,PUC26ME008,HARSHIT SHARMA,L035
0036,CSE,CSE,3,B,Monday,08:00,09:00,1,THEORY,Networking,PUC26CE001,ABHISHEK GUPTA,T036
0037,CSE,CSE,3,B,Monday,09:00,10:00,1,THEORY,Statistics,PUC26CE002,BHAVNA SHARMA,T037
0038,CSE,CSE,3,B,Monday,10:00,11:00,1,THEORY,Machine Learning,PUC26CE003,CHIRAG JOSHI,T038
0039,CSE,CSE,3,B,Monday,08:00,10:00,2,LAB,Deep Learning,PUC26CE004,DHRUVENDRA SINGH,L039
0040,CSE,CSE,3,B,Monday,09:00,11:00,2,LAB,Circuit Analysis,PUC26CE005,EKTA VERMA,L040
0041,CSE,CSE,3,C,Monday,08:00,09:00,1,THEORY,Power Systems,PUC26CE006,FIONA PATEL,T041
0042,CSE,CSE,3,C,Monday,09:00,10:00,1,THEORY,Digital Design,PUC26CE007,GAURAV NEGI,T042
0043,CSE,CSE,3,C,Monday,10:00,11:00,1,THEORY,Thermodynamics,PUC26CE008,HARSH BHATNAGAR,T043
0044,CSE,CSE,3,C,Monday,08:00,10:00,2,LAB,Mechanics,PUC26IOT001,ARUN KUMAR,L044
0045,CSE,CSE,3,C,Monday,09:00,11:00,2,LAB,Structural Analysis,PUC26IOT002,BHAVESH VERMA,L045
0046,CSE,CSE,4,A,Monday,08:00,09:00,1,THEORY,Concrete Technology,PUC26IOT003,CHIRANJEEV RAJ,T046
0047,CSE,CSE,4,A,Monday,09:00,10:00,1,THEORY,VLSI Design,PUC26IOT004,DARSHAN PATEL,T047
0048,CSE,CSE,4,A,Monday,10:00,11:00,1,THEORY,Embedded Systems,PUC26IOT005,ESHAAN KRISHNAN,T048
0049,CSE,CSE,4,A,Monday,08:00,10:00,2,LAB,Business Management,PUC26IOT006,FARHAN MALIK,L049
0050,CSE,CSE,4,A,Monday,09:00,11:00,2,LAB,Finance,PUC26AI001,ABHIJIT NAIR,L050
0051,CSE,CSE,4,B,Monday,08:00,09:00,1,THEORY,Marketing,PUC26AI002,BHAVNA DESAI,T051
0052,CSE,CSE,4,B,Monday,09:00,10:00,1,THEORY,Economics,PUC26AI003,CHIRAG MALHOTRA,T052
0053,CSE,CSE,4,B,Monday,10:00,11:00,1,THEORY,Data Structures,PUC26AI004,DIVYAM SINGH,T053
0054,CSE,CSE,4,B,Monday,08:00,10:00,2,LAB,Algorithms,PUC26AI005,ESHA SHARMA,L054
0055,CSE,CSE,4,B,Monday,09:00,11:00,2,LAB,Web Development,PUC26AI006,FARHAN HASSAN,L055
0056,CSE,CSE,4,C,Monday,08:00,09:00,1,THEORY,Cloud Computing,PUC26AI007,GAJENDRA KUMAR,T056
0057,CSE,CSE,4,C,Monday,09:00,10:00,1,THEORY,AI & ML,PUC26MBA001,ADITYA SAXENA,T057
0058,CSE,CSE,4,C,Monday,10:00,11:00,1,THEORY,Cybersecurity,PUC26MBA002,BHAVNA KAPOOR,T058
0059,CSE,CSE,4,C,Monday,08:00,10:00,2,LAB,IoT,PUC26MBA003,CHIRAG VERMA,L059
0060,CSE,CSE,4,C,Monday,09:00,11:00,2,LAB,Databases,PUC26MBA004,DEEPIKA SHARMA,L060
0061,ADS,ADS,1,A,Monday,08:00,09:00,1,THEORY,OS,PUC26MBA005,ESHWARI REDDY,T061
0062,ADS,ADS,1,A,Monday,09:00,10:00,1,THEORY,Networking,PUC26MBA006,FARIDA KHAN,T062
0063,ADS,ADS,1,A,Monday,10:00,11:00,1,THEORY,Statistics,PUC26BBA001,ABHIJEET SINGH,T063
0064,ADS,ADS,1,A,Monday,08:00,10:00,2,LAB,Machine Learning,PUC26BBA002,BHAGVAN RAGHAV,L064
0065,ADS,ADS,1,A,Monday,09:00,11:00,2,LAB,Deep Learning,PUC26BBA003,CHIRAG DESAI,L065
0066,ADS,ADS,1,B,Monday,08:00,09:00,1,THEORY,Circuit Analysis,PUC26BBA004,DIVYA SHARMA,T066
0067,ADS,ADS,1,B,Monday,09:00,10:00,1,THEORY,Power Systems,PUC26BBA005,ESHITA PRABHU,T067
0068,ADS,ADS,1,B,Monday,10:00,11:00,1,THEORY,Digital Design,PUC26BBA006,FARISH KHAN,T068
0069,ADS,ADS,1,B,Monday,08:00,10:00,2,LAB,Thermodynamics,PUC26FSD001,AJAYVEER SINGH,L069
0070,ADS,ADS,1,B,Monday,09:00,11:00,2,LAB,Mechanics,PUC26FSD002,BHASHKAR REDDY,L070
0071,ADS,ADS,1,C,Monday,08:00,09:00,1,THEORY,Structural Analysis,PUC26FSD003,CHIRANJEEVI PAL,T071
0072,ADS,ADS,1,C,Monday,09:00,10:00,1,THEORY,Concrete Technology,PUC26FSD004,DARSHANA NAIR,T072
0073,ADS,ADS,1,C,Monday,10:00,11:00,1,THEORY,VLSI Design,PUC26FSD005,ESHA MAHAJAN,T073
0074,ADS,ADS,1,C,Monday,08:00,10:00,2,LAB,Embedded Systems,PUC26FSD006,FARISHA KHAN,L074
0075,ADS,ADS,1,C,Monday,09:00,11:00,2,LAB,Business Management,PUC26EEE001,ASHOK KUMAR,L075
0076,ADS,ADS,2,A,Monday,08:00,09:00,1,THEORY,Finance,PUC26EEE002,BHARGAV DESAI,T076
0077,ADS,ADS,2,A,Monday,09:00,10:00,1,THEORY,Marketing,PUC26EEE003,CHIRAG KUMAR,T077
0078,ADS,ADS,2,A,Monday,10:00,11:00,1,THEORY,Economics,PUC26EEE004,DEEPENDRA SINGH,T078
0079,ADS,ADS,2,A,Monday,08:00,10:00,2,LAB,Data Structures,PUC26EEE005,EKALAVYA RAO,L079
0080,ADS,ADS,2,A,Monday,09:00,11:00,2,LAB,Algorithms,PUC26EEE006,FAROOQ MALIK,L080
0081,ADS,ADS,2,B,Monday,08:00,09:00,1,THEORY,Web Development,PUC26EEE007,GAURAV MEHRA,T081
0082,ADS,ADS,2,B,Monday,09:00,10:00,1,THEORY,Cloud Computing,PUC26EEE008,HARSHVARDHAN DESAI,T082
0083,ADS,ADS,2,B,Monday,10:00,11:00,1,THEORY,AI & ML,PUC26CSE001,ARJUN KUMAR,T083
0084,ADS,ADS,2,B,Monday,08:00,10:00,2,LAB,Cybersecurity,PUC26CSE002,DARSHAN REDDY,L084
0085,ADS,ADS,2,B,Monday,09:00,11:00,2,LAB,IoT,PUC26CSE003,CHARVI PATEL,L085
0086,ADS,ADS,2,C,Monday,08:00,09:00,1,THEORY,Databases,PUC26CSE004,DALIT KUMAR,T086
0087,ADS,ADS,2,C,Monday,09:00,10:00,1,THEORY,OS,PUC26CSE005,AKSHAY SINGH,T087
0088,ADS,ADS,2,C,Monday,10:00,11:00,1,THEORY,Networking,PUC26CSE006,ANANYA GUPTA,T088
0089,ADS,ADS,2,C,Monday,08:00,10:00,2,LAB,Statistics,PUC26CSE007,DARSHAN REDDY,L089
0090,ADS,ADS,2,C,Monday,09:00,11:00,2,LAB,Machine Learning,PUC26CSE008,CHANDNI SHARMA,L090
0091,ECE,ECE,1,A,Monday,08:00,09:00,1,THEORY,Deep Learning,PUC26CSE009,DEEP SHARMA,T091
0092,ECE,ECE,1,A,Monday,09:00,10:00,1,THEORY,Circuit Analysis,PUC26CSE010,CHETAN MAHESHWARI,T092
0093,ECE,ECE,1,A,Monday,10:00,11:00,1,THEORY,Power Systems,PUC26CSE011,EDEN PATEL,T093
0094,ECE,ECE,1,A,Monday,08:00,10:00,2,LAB,Digital Design,PUC26CSE012,CHETAN MAHESHWARI,L094
0095,ECE,ECE,1,A,Monday,09:00,11:00,2,LAB,Thermodynamics,PUC26ADS001,BALAJI NAIR,L095
0096,ECE,ECE,1,B,Monday,08:00,09:00,1,THEORY,Mechanics,PUC26ADS002,ESWAR NAIR,T096
0097,ECE,ECE,1,B,Monday,09:00,10:00,1,THEORY,Structural Analysis,PUC26ADS003,ARJUN KUMAR,T097
0098,ECE,ECE,1,B,Monday,10:00,11:00,1,THEORY,Concrete Technology,PUC26ADS004,CHIRAG MALHOTRA,T098
0099,ECE,ECE,1,B,Monday,08:00,10:00,2,LAB,VLSI Design,PUC26ADS005,DEVANSH TIWARI,L099
0100,ECE,ECE,1,B,Monday,09:00,11:00,2,LAB,Embedded Systems,PUC26ADS006,BOOM BABU,L100
0101,ECE,ECE,1,C,Monday,08:00,09:00,1,THEORY,Business Management,PUC26ADS007,CHHAYA BANERJEE,T101
0102,ECE,ECE,1,C,Monday,09:00,10:00,1,THEORY,Finance,PUC26ECE001,ARYAN DESAI,T102
0103,ECE,ECE,1,C,Monday,10:00,11:00,1,THEORY,Marketing,PUC26ECE002,BHANU PRAKASH,T103
0104,ECE,ECE,1,C,Monday,08:00,10:00,2,LAB,Economics,PUC26ECE003,CHIRAG Singh,L104
0105,ECE,ECE,1,C,Monday,09:00,11:00,2,LAB,Data Structures,PUC26ECE004,DEEPAK VERMA,L105
0106,ECE,ECE,2,A,Monday,08:00,09:00,1,THEORY,Algorithms,PUC26ECE005,ESHA KAPOOR,T106
0107,ECE,ECE,2,A,Monday,09:00,10:00,1,THEORY,Web Development,PUC26ECE006,FAISAL KHAN,T107
0108,ECE,ECE,2,A,Monday,10:00,11:00,1,THEORY,Cloud Computing,PUC26ECE007,GAURAV MAHAJAN,T108
0109,ECE,ECE,2,A,Monday,08:00,10:00,2,LAB,AI & ML,PUC26ECE008,HARSH MITTAL,L109
0110,ECE,ECE,2,A,Monday,09:00,11:00,2,LAB,Cybersecurity,PUC26ME001,ADITYA KUMAR,L110
0111,ECE,ECE,2,B,Monday,08:00,09:00,1,THEORY,IoT,PUC26ME002,BRIJESH SINGH,T111
0112,ECE,ECE,2,B,Monday,09:00,10:00,1,THEORY,Databases,PUC26ME003,CHANDRA SHEKHAR,T112
0113,ECE,ECE,2,B,Monday,10:00,11:00,1,THEORY,OS,PUC26ME004,DINESH PATEL,T113
0114,ECE,ECE,2,B,Monday,08:00,10:00,2,LAB,Networking,PUC26ME005,EAKSHYA RAO,L114
0115,ECE,ECE,2,B,Monday,09:00,11:00,2,LAB,Statistics,PUC26ME006,FARHAN ALI,L115
0116,ECE,ECE,2,C,Monday,08:00,09:00,1,THEORY,Machine Learning,PUC26ME007,GAJENDRA SINGH,T116
0117,ECE,ECE,2,C,Monday,09:00,10:00,1,THEORY,Deep Learning,PUC26ME008,HARSHIT SHARMA,T117
0118,ECE,ECE,2,C,Monday,10:00,11:00,1,THEORY,Circuit Analysis,PUC26CE001,ABHISHEK GUPTA,T118
0119,ECE,ECE,2,C,Monday,08:00,10:00,2,LAB,Power Systems,PUC26CE002,BHAVNA SHARMA,L119
0120,ECE,ECE,2,C,Monday,09:00,11:00,2,LAB,Digital Design,PUC26CE003,CHIRAG JOSHI,L120
0121,ECE,ECE,3,A,Monday,08:00,09:00,1,THEORY,Thermodynamics,PUC26CE004,DHRUVENDRA SINGH,T121
0122,ECE,ECE,3,A,Monday,09:00,10:00,1,THEORY,Mechanics,PUC26CE005,EKTA VERMA,T122
0123,ECE,ECE,3,A,Monday,10:00,11:00,1,THEORY,Structural Analysis,PUC26CE006,FIONA PATEL,T123
0124,ECE,ECE,3,A,Monday,08:00,10:00,2,LAB,Concrete Technology,PUC26CE007,GAURAV NEGI,L124
0125,ECE,ECE,3,A,Monday,09:00,11:00,2,LAB,VLSI Design,PUC26CE008,HARSH BHATNAGAR,L125
0126,ECE,ECE,3,B,Monday,08:00,09:00,1,THEORY,Embedded Systems,PUC26IOT001,ARUN KUMAR,T126
0127,ECE,ECE,3,B,Monday,09:00,10:00,1,THEORY,Business Management,PUC26IOT002,BHAVESH VERMA,T127
0128,ECE,ECE,3,B,Monday,10:00,11:00,1,THEORY,Finance,PUC26IOT003,CHIRANJEEV RAJ,T128
0129,ECE,ECE,3,B,Monday,08:00,10:00,2,LAB,Marketing,PUC26IOT004,DARSHAN PATEL,L129
0130,ECE,ECE,3,B,Monday,09:00,11:00,2,LAB,Economics,PUC26IOT005,ESHAAN KRISHNAN,L130
0131,ECE,ECE,3,C,Monday,08:00,09:00,1,THEORY,Data Structures,PUC26IOT006,FARHAN MALIK,T131
0132,ECE,ECE,3,C,Monday,09:00,10:00,1,THEORY,Algorithms,PUC26AI001,ABHIJIT NAIR,T132
0133,ECE,ECE,3,C,Monday,10:00,11:00,1,THEORY,Web Development,PUC26AI002,BHAVNA DESAI,T133
0134,ECE,ECE,3,C,Monday,08:00,10:00,2,LAB,Cloud Computing,PUC26AI003,CHIRAG MALHOTRA,L134
0135,ECE,ECE,3,C,Monday,09:00,11:00,2,LAB,AI & ML,PUC26AI004,DIVYAM SINGH,L135
0136,ME,ME,1,A,Monday,08:00,09:00,1,THEORY,Cybersecurity,PUC26AI005,ESHA SHARMA,T136
0137,ME,ME,1,A,Monday,09:00,10:00,1,THEORY,IoT,PUC26AI006,FARHAN HASSAN,T137
0138,ME,ME,1,A,Monday,10:00,11:00,1,THEORY,Databases,PUC26AI007,GAJENDRA KUMAR,T138
0139,ME,ME,1,A,Monday,08:00,10:00,2,LAB,OS,PUC26MBA001,ADITYA SAXENA,L139
0140,ME,ME,1,A,Monday,09:00,11:00,2,LAB,Networking,PUC26MBA002,BHAVNA KAPOOR,L140
0141,ME,ME,1,B,Monday,08:00,09:00,1,THEORY,Statistics,PUC26MBA003,CHIRAG VERMA,T141
0142,ME,ME,1,B,Monday,09:00,10:00,1,THEORY,Machine Learning,PUC26MBA004,DEEPIKA SHARMA,T142
0143,ME,ME,1,B,Monday,10:00,11:00,1,THEORY,Deep Learning,PUC26MBA005,ESHWARI REDDY,T143
0144,ME,ME,1,B,Monday,08:00,10:00,2,LAB,Circuit Analysis,PUC26MBA006,FARIDA KHAN,L144
0145,ME,ME,1,B,Monday,09:00,11:00,2,LAB,Power Systems,PUC26BBA001,ABHIJEET SINGH,L145
0146,ME,ME,1,C,Monday,08:00,09:00,1,THEORY,Digital Design,PUC26BBA002,BHAGVAN RAGHAV,T146
0147,ME,ME,1,C,Monday,09:00,10:00,1,THEORY,Thermodynamics,PUC26BBA003,CHIRAG DESAI,T147
0148,ME,ME,1,C,Monday,10:00,11:00,1,THEORY,Mechanics,PUC26BBA004,DIVYA SHARMA,T148
0149,ME,ME,1,C,Monday,08:00,10:00,2,LAB,Structural Analysis,PUC26BBA005,ESHITA PRABHU,L149
0150,ME,ME,1,C,Monday,09:00,11:00,2,LAB,Concrete Technology,PUC26BBA006,FARISH KHAN,L150
0151,ME,ME,2,A,Monday,08:00,09:00,1,THEORY,VLSI Design,PUC26FSD001,AJAYVEER SINGH,T151
0152,ME,ME,2,A,Monday,09:00,10:00,1,THEORY,Embedded Systems,PUC26FSD002,BHASHKAR REDDY,T152
0153,ME,ME,2,A,Monday,10:00,11:00,1,THEORY,Business Management,PUC26FSD003,CHIRANJEEVI PAL,T153
0154,ME,ME,2,A,Monday,08:00,10:00,2,LAB,Finance,PUC26FSD004,DARSHANA NAIR,L154
0155,ME,ME,2,A,Monday,09:00,11:00,2,LAB,Marketing,PUC26FSD005,ESHA MAHAJAN,L155
0156,ME,ME,2,B,Monday,08:00,09:00,1,THEORY,Economics,PUC26FSD006,FARISHA KHAN,T156
0157,ME,ME,2,B,Monday,09:00,10:00,1,THEORY,Data Structures,PUC26EEE001,ASHOK KUMAR,T157
0158,ME,ME,2,B,Monday,10:00,11:00,1,THEORY,Algorithms,PUC26EEE002,BHARGAV DESAI,T158
0159,ME,ME,2,B,Monday,08:00,10:00,2,LAB,Web Development,PUC26EEE003,CHIRAG KUMAR,L159
0160,ME,ME,2,B,Monday,09:00,11:00,2,LAB,Cloud Computing,PUC26EEE004,DEEPENDRA SINGH,L160
0161,ME,ME,2,C,Monday,08:00,09:00,1,THEORY,AI & ML,PUC26EEE005,EKALAVYA RAO,T161
0162,ME,ME,2,C,Monday,09:00,10:00,1,THEORY,Cybersecurity,PUC26EEE006,FAROOQ MALIK,T162
0163,ME,ME,2,C,Monday,10:00,11:00,1,THEORY,IoT,PUC26EEE007,GAURAV MEHRA,T163
0164,ME,ME,2,C,Monday,08:00,10:00,2,LAB,Databases,PUC26EEE008,HARSHVARDHAN DESAI,L164
0165,ME,ME,2,C,Monday,09:00,11:00,2,LAB,OS,PUC26CSE001,ARJUN KUMAR,L165
0166,ME,ME,3,A,Monday,08:00,09:00,1,THEORY,Networking,PUC26CSE002,DARSHAN REDDY,T166
0167,ME,ME,3,A,Monday,09:00,10:00,1,THEORY,Statistics,PUC26CSE003,CHARVI PATEL,T167
0168,ME,ME,3,A,Monday,10:00,11:00,1,THEORY,Machine Learning,PUC26CSE004,DALIT KUMAR,T168
0169,ME,ME,3,A,Monday,08:00,10:00,2,LAB,Deep Learning,PUC26CSE005,AKSHAY SINGH,L169
0170,ME,ME,3,A,Monday,09:00,11:00,2,LAB,Circuit Analysis,PUC26CSE006,ANANYA GUPTA,L170
0171,ME,ME,3,B,Monday,08:00,09:00,1,THEORY,Power Systems,PUC26CSE007,DARSHAN REDDY,T171
0172,ME,ME,3,B,Monday,09:00,10:00,1,THEORY,Digital Design,PUC26CSE008,CHANDNI SHARMA,T172
0173,ME,ME,3,B,Monday,10:00,11:00,1,THEORY,Thermodynamics,PUC26CSE009,DEEP SHARMA,T173
0174,ME,ME,3,B,Monday,08:00,10:00,2,LAB,Mechanics,PUC26CSE010,CHETAN MAHESHWARI,L174
0175,ME,ME,3,B,Monday,09:00,11:00,2,LAB,Structural Analysis,PUC26CSE011,EDEN PATEL,L175
0176,ME,ME,3,C,Monday,08:00,09:00,1,THEORY,Concrete Technology,PUC26CSE012,CHETAN MAHESHWARI,T176
0177,ME,ME,3,C,Monday,09:00,10:00,1,THEORY,VLSI Design,PUC26ADS001,BALAJI NAIR,T177
0178,ME,ME,3,C,Monday,10:00,11:00,1,THEORY,Embedded Systems,PUC26ADS002,ESWAR NAIR,T178
0179,ME,ME,3,C,Monday,08:00,10:00,2,LAB,Business Management,PUC26ADS003,ARJUN KUMAR,L179
0180,ME,ME,3,C,Monday,09:00,11:00,2,LAB,Finance,PUC26ADS004,CHIRAG MALHOTRA,L180
0181,CE,CE,1,A,Monday,08:00,09:00,1,THEORY,Marketing,PUC26ADS005,DEVANSH TIWARI,T181
0182,CE,CE,1,A,Monday,09:00,10:00,1,THEORY,Economics,PUC26ADS006,BOOM BABU,T182
0183,CE,CE,1,A,Monday,10:00,11:00,1,THEORY,Data Structures,PUC26ADS007,CHHAYA BANERJEE,T183
0184,CE,CE,1,A,Monday,08:00,10:00,2,LAB,Algorithms,PUC26ECE001,ARYAN DESAI,L184
0185,CE,CE,1,A,Monday,09:00,11:00,2,LAB,Web Development,PUC26ECE002,BHANU PRAKASH,L185
0186,CE,CE,1,B,Monday,08:00,09:00,1,THEORY,Cloud Computing,PUC26ECE003,CHIRAG Singh,T186
0187,CE,CE,1,B,Monday,09:00,10:00,1,THEORY,AI & ML,PUC26ECE004,DEEPAK VERMA,T187
0188,CE,CE,1,B,Monday,10:00,11:00,1,THEORY,Cybersecurity,PUC26ECE005,ESHA KAPOOR,T188
0189,CE,CE,1,B,Monday,08:00,10:00,2,LAB,IoT,PUC26ECE006,FAISAL KHAN,L189
0190,CE,CE,1,B,Monday,09:00,11:00,2,LAB,Databases,PUC26ECE007,GAURAV MAHAJAN,L190
0191,CE,CE,1,C,Monday,08:00,09:00,1,THEORY,OS,PUC26ECE008,HARSH MITTAL,T191
0192,CE,CE,1,C,Monday,09:00,10:00,1,THEORY,Networking,PUC26ME001,ADITYA KUMAR,T192
0193,CE,CE,1,C,Monday,10:00,11:00,1,THEORY,Statistics,PUC26ME002,BRIJESH SINGH,T193
0194,CE,CE,1,C,Monday,08:00,10:00,2,LAB,Machine Learning,PUC26ME003,CHANDRA SHEKHAR,L194
0195,CE,CE,1,C,Monday,09:00,11:00,2,LAB,Deep Learning,PUC26ME004,DINESH PATEL,L195
0196,CE,CE,2,A,Monday,08:00,09:00,1,THEORY,Circuit Analysis,PUC26ME005,EAKSHYA RAO,T196
0197,CE,CE,2,A,Monday,09:00,10:00,1,THEORY,Power Systems,PUC26ME006,FARHAN ALI,T197
0198,CE,CE,2,A,Monday,10:00,11:00,1,THEORY,Digital Design,PUC26ME007,GAJENDRA SINGH,T198
0199,CE,CE,2,A,Monday,08:00,10:00,2,LAB,Thermodynamics,PUC26ME008,HARSHIT SHARMA,L199
0200,CE,CE,2,A,Monday,09:00,11:00,2,LAB,Mechanics,PUC26CE001,ABHISHEK GUPTA,L200
0201,CE,CE,2,B,Monday,08:00,09:00,1,THEORY,Structural Analysis,PUC26CE002,BHAVNA SHARMA,T201
0202,CE,CE,2,B,Monday,09:00,10:00,1,THEORY,Concrete Technology,PUC26CE003,CHIRAG JOSHI,T202
0203,CE,CE,2,B,Monday,10:00,11:00,1,THEORY,VLSI Design,PUC26CE004,DHRUVENDRA SINGH,T203
0204,CE,CE,2,B,Monday,08:00,10:00,2,LAB,Embedded Systems,PUC26CE005,EKTA VERMA,L204
0205,CE,CE,2,B,Monday,09:00,11:00,2,LAB,Business Management,PUC26CE006,FIONA PATEL,L205
0206,CE,CE,2,C,Monday,08:00,09:00,1,THEORY,Finance,PUC26CE007,GAURAV NEGI,T206
0207,CE,CE,2,C,Monday,09:00,10:00,1,THEORY,Marketing,PUC26CE008,HARSH BHATNAGAR,T207
0208,CE,CE,2,C,Monday,10:00,11:00,1,THEORY,Economics,PUC26IOT001,ARUN KUMAR,T208
0209,CE,CE,2,C,Monday,08:00,10:00,2,LAB,Data Structures,PUC26IOT002,BHAVESH VERMA,L209
0210,CE,CE,2,C,Monday,09:00,11:00,2,LAB,Algorithms,PUC26IOT003,CHIRANJEEV RAJ,L210
0211,IOT,IOT,1,A,Monday,08:00,09:00,1,THEORY,Web Development,PUC26IOT004,DARSHAN PATEL,T211
0212,IOT,IOT,1,A,Monday,09:00,10:00,1,THEORY,Cloud Computing,PUC26IOT005,ESHAAN KRISHNAN,T212
0213,IOT,IOT,1,A,Monday,10:00,11:00,1,THEORY,AI & ML,PUC26IOT006,FARHAN MALIK,T213
0214,IOT,IOT,1,A,Monday,08:00,10:00,2,LAB,Cybersecurity,PUC26AI001,ABHIJIT NAIR,L214
0215,IOT,IOT,1,A,Monday,09:00,11:00,2,LAB,IoT,PUC26AI002,BHAVNA DESAI,L215
0216,IOT,IOT,1,B,Monday,08:00,09:00,1,THEORY,Databases,PUC26AI003,CHIRAG MALHOTRA,T216
0217,IOT,IOT,1,B,Monday,09:00,10:00,1,THEORY,OS,PUC26AI004,DIVYAM SINGH,T217
0218,IOT,IOT,1,B,Monday,10:00,11:00,1,THEORY,Networking,PUC26AI005,ESHA SHARMA,T218
0219,IOT,IOT,1,B,Monday,08:00,10:00,2,LAB,Statistics,PUC26AI006,FARHAN HASSAN,L219
0220,IOT,IOT,1,B,Monday,09:00,11:00,2,LAB,Machine Learning,PUC26AI007,GAJENDRA KUMAR,L220
0221,IOT,IOT,1,C,Monday,08:00,09:00,1,THEORY,Deep Learning,PUC26MBA001,ADITYA SAXENA,T221
0222,IOT,IOT,1,C,Monday,09:00,10:00,1,THEORY,Circuit Analysis,PUC26MBA002,BHAVNA KAPOOR,T222
